Abbreviation,Subregion,D0W3_MEAN,D0W3_SD,D7W3_MEAN,D7W3_SD,D0M3_MEAN,D0M3_SD,D7M3_MEAN,D7M3_SD,D0M318_MEAN,D0M318_SD,D7M318_MEAN,D7M318_SD
CA1so_1,CA1so,57.66666667,14.4971752,2.306666667,3.262119284,58.82,7.474454272,25.37333333,4.315378186,68.04666667,6.524238568,29.98666667,1.631059642
CA1so_2,CA1so,89.96,12.94613456,5.766666667,8.15529821,87.65333333,8.15529821,44.98,2.82507817,94.57333333,1.631059642,51.9,5.65015634
CA1so_3,CA1so,100.34,14.94890854,6.92,9.786357852,96.88,9.786357852,51.9,4.893178926,101.4933333,3.262119284,57.66666667,7.10962415
CA1so_4,CA1so,99.18666667,14.4971752,5.766666667,8.15529821,96.88,9.786357852,46.13333333,7.10962415,103.8,2.82507817,53.05333333,8.630756372
CA1so_5,CA1so,83.04,17.64260752,2.306666667,3.262119284,87.65333333,10.69557333,28.83333333,7.10962415,98.03333333,3.262119284,32.29333333,9.921348475
CA1sr_1,CA1sr,70.35333333,10.69557333,3.46,4.893178926,69.2,7.474454272,29.98666667,3.262119284,74.96666667,3.262119284,36.90666667,4.315378186
CA1sr_2,CA1sr,89.38333333,12.3412056,5.766666667,8.15529821,80.73333333,8.15529821,36.90666667,5.880869172,85.34666667,1.631059642,42.67333333,5.880869172
CA1sr_3,CA1sr,94.57333333,13.35079856,6.92,9.786357852,84.19333333,10.69557333,40.94333333,5.708708747,88.80666667,1.631059642,48.44,4.893178926
CA1sr_4,CA1sr,95.72666667,11.76173834,8.073333333,11.41741749,85.34666667,9.081355748,44.98,4.893178926,88.80666667,4.315378186,53.05333333,5.880869172
CA1sr_5,CA1sr,94.57333333,10.69557333,9.226666667,13.04847714,84.19333333,8.15529821,47.28666667,5.880869172,87.65333333,4.315378186,55.36,5.65015634
CA1sr_6,CA1sr,95.72666667,11.76173834,12.68666667,13.04847714,83.04,7.474454272,48.44,5.65015634,86.5,2.82507817,57.66666667,4.315378186
CA1sr_7,CA1sr,93.42,10.1859642,13.84,14.67953678,83.04,7.474454272,51.9,5.65015634,85.34666667,4.315378186,61.12666667,4.315378186
CA1sr_8,CA1sr,94.57333333,10.69557333,14.99333333,16.31059642,81.88666667,6.524238568,50.74666667,4.315378186,83.04,2.82507817,61.12666667,4.315378186
CA1sr_9,CA1sr,91.11333333,10.69557333,16.14666667,15.55931732,80.73333333,5.880869172,50.74666667,3.262119284,80.73333333,4.315378186,57.66666667,4.315378186
CA1sr_10,CA1sr,79.58,9.786357852,9.226666667,10.69557333,71.50666667,4.315378186,38.06,2.82507817,76.12,2.82507817,40.36666667,7.10962415
CA1slm_1,CA1slm,57.66666667,11.41741749,3.46,4.893178926,50.74666667,1.631059642,18.45333333,4.315378186,53.05333333,6.524238568,25.37333333,3.262119284
CA1slm_2,CA1slm,80.73333333,10.69557333,9.226666667,13.04847714,68.04666667,1.631059642,36.90666667,5.880869172,72.66,2.82507817,44.98,5.65015634
CA1slm_3,CA1slm,92.26666667,6.524238568,12.68666667,17.94165606,76.12,2.82507817,46.13333333,7.10962415,80.73333333,4.315378186,54.20666667,5.880869172
CA1slm_4,CA1slm,99.18666667,6.524238568,18.45333333,23.69250983,79.58,2.82507817,50.74666667,5.880869172,84.19333333,4.315378186,59.97333333,6.524238568
CA1slm_5,CA1slm,101.4933333,5.880869172,19.60666667,25.32085482,80.73333333,3.262119284,54.20666667,3.262119284,85.34666667,5.880869172,58.82,4.893178926
