Abbreviation,D0W3_MEAN,D0W3_SD,D7W3_MEAN,D7W3_SD,D0M3_MEAN,D0M3_SD,D7M3_MEAN,D7M3_SD,D0M18_MEAN,D0M18_SD,D7M18_MEAN,D7M18_SD
rd1,135.6666667,87.12251909,0,0.577350269,298.5,52.85120623,17,2.645751311,335.8333333,69.52757247,26.16666667,11.72959221
rd2,202.5,111.1968974,0,1.732050808,343.5,67.75138375,31.66666667,2.081665999,413.3333333,41.74126655,40.33333333,12.9067166
rd3,252.5,98.75854393,0,2.598076211,352.3333333,72.01620188,34.16666667,3.013856887,403.8333333,39.00106836,44.5,11.30265456
rd4,303.1666667,94.1678466,0,4.041451884,357.3333333,60.05275459,43.16666667,4.804511768,404.8333333,32.97852837,58.66666667,14.50287328
rd5,324.5,92.1425526,0,6.639528096,364.3333333,62.08126395,54.16666667,6.171169527,406.5,30.64718584,69.33333333,14.571662
rd6,346.8333333,91.76373648,0,9.814954576,368.5,54.9112921,62.33333333,12.7410099,413.1666667,32.78846342,77,15.87450787
rd7,384.8333333,91.29120074,0,10.96965511,389.5,59.09526208,81.16666667,13.04160011,437,16.37070554,89.5,22.76510488
rd8,418.6666667,74.79026229,0.25,11.40540807,418.5,62.0664966,92.5,18.29617446,461,15.13274595,108.3333333,23.50177298
rd9,439.5,85.3566049,0.5,12.42309677,428.3333333,54.50076452,97.83333333,20.02706502,482,16.46207763,111.3333333,25.66287851
rd10,421.6666667,76.00219295,1,11.54700538,396.6666667,52.27172595,96,23.06512519,441.3333333,11.15048579,93.66666667,11.67618659
