,N,Name,abb,DtS
0,0,dgyrus_morph.soma[0],rd1,0.0
1,1,dgyrus_morph.dend[0],rd1,7.512101847033026
2,2,dgyrus_morph.dend[0],rd1,7.512101847033026
3,3,dgyrus_morph.dend[0],rd1,7.512101847033026
4,4,dgyrus_morph.dend[0],rd1,7.512101847033026
5,5,dgyrus_morph.dend[30],rd3,54.45769420156968
6,6,dgyrus_morph.dend[30],rd3,54.45769420156968
7,7,dgyrus_morph.dend[30],rd3,54.45769420156968
8,8,dgyrus_morph.dend[30],rd3,54.45769420156968
9,9,dgyrus_morph.dend[30],rd3,54.45769420156968
10,10,dgyrus_morph.dend[30],rd3,54.45769420156968
11,11,dgyrus_morph.dend[30],rd3,54.45769420156968
12,12,dgyrus_morph.dend[30],rd3,54.45769420156968
13,13,dgyrus_morph.dend[30],rd3,54.45769420156968
14,14,dgyrus_morph.dend[30],rd3,54.45769420156968
15,15,dgyrus_morph.dend[30],rd3,54.45769420156968
16,16,dgyrus_morph.dend[30],rd3,54.45769420156968
17,17,dgyrus_morph.dend[30],rd3,54.45769420156968
18,18,dgyrus_morph.dend[30],rd3,54.45769420156968
19,19,dgyrus_morph.dend[30],rd3,54.45769420156968
20,20,dgyrus_morph.dend[30],rd3,54.45769420156968
21,21,dgyrus_morph.dend[30],rd3,54.45769420156968
22,22,dgyrus_morph.dend[30],rd3,54.45769420156968
23,23,dgyrus_morph.dend[30],rd3,54.45769420156968
24,24,dgyrus_morph.dend[30],rd3,54.45769420156968
25,25,dgyrus_morph.dend[30],rd3,54.45769420156968
26,26,dgyrus_morph.dend[1],rd2,29.266742759960316
27,27,dgyrus_morph.dend[1],rd2,29.266742759960316
28,28,dgyrus_morph.dend[1],rd2,29.266742759960316
29,29,dgyrus_morph.dend[1],rd2,29.266742759960316
30,30,dgyrus_morph.dend[1],rd2,29.266742759960316
31,31,dgyrus_morph.dend[1],rd2,29.266742759960316
32,32,dgyrus_morph.dend[1],rd2,29.266742759960316
33,33,dgyrus_morph.dend[1],rd2,29.266742759960316
34,34,dgyrus_morph.dend[23],rd3,57.81181511220024
35,35,dgyrus_morph.dend[23],rd3,57.81181511220024
36,36,dgyrus_morph.dend[23],rd3,57.81181511220024
37,37,dgyrus_morph.dend[23],rd3,57.81181511220024
38,38,dgyrus_morph.dend[23],rd3,57.81181511220024
39,39,dgyrus_morph.dend[23],rd3,57.81181511220024
40,40,dgyrus_morph.dend[23],rd3,57.81181511220024
41,41,dgyrus_morph.dend[23],rd3,57.81181511220024
42,42,dgyrus_morph.dend[25],rd6,108.62267072702741
43,43,dgyrus_morph.dend[25],rd6,108.62267072702741
44,44,dgyrus_morph.dend[25],rd6,108.62267072702741
45,45,dgyrus_morph.dend[25],rd6,108.62267072702741
46,46,dgyrus_morph.dend[25],rd6,108.62267072702741
47,47,dgyrus_morph.dend[25],rd6,108.62267072702741
48,48,dgyrus_morph.dend[25],rd6,108.62267072702741
49,49,dgyrus_morph.dend[25],rd6,108.62267072702741
50,50,dgyrus_morph.dend[25],rd6,108.62267072702741
51,51,dgyrus_morph.dend[25],rd6,108.62267072702741
52,52,dgyrus_morph.dend[25],rd6,108.62267072702741
53,53,dgyrus_morph.dend[25],rd6,108.62267072702741
54,54,dgyrus_morph.dend[25],rd6,108.62267072702741
55,55,dgyrus_morph.dend[25],rd6,108.62267072702741
56,56,dgyrus_morph.dend[25],rd6,108.62267072702741
57,57,dgyrus_morph.dend[25],rd6,108.62267072702741
58,58,dgyrus_morph.dend[25],rd6,108.62267072702741
59,59,dgyrus_morph.dend[25],rd6,108.62267072702741
60,60,dgyrus_morph.dend[25],rd6,108.62267072702741
61,61,dgyrus_morph.dend[25],rd6,108.62267072702741
62,62,dgyrus_morph.dend[29],rd8,148.43191733218512
63,63,dgyrus_morph.dend[29],rd8,148.43191733218512
64,64,dgyrus_morph.dend[26],rd8,147.32761138203995
65,65,dgyrus_morph.dend[28],rd9,158.0449655621979
66,66,dgyrus_morph.dend[28],rd9,158.0449655621979
67,67,dgyrus_morph.dend[28],rd9,158.0449655621979
68,68,dgyrus_morph.dend[28],rd9,158.0449655621979
69,69,dgyrus_morph.dend[28],rd9,158.0449655621979
70,70,dgyrus_morph.dend[27],rd8,153.09598958631904
71,71,dgyrus_morph.dend[27],rd8,153.09598958631904
72,72,dgyrus_morph.dend[24],rd7,121.38897609144908
73,73,dgyrus_morph.dend[24],rd7,121.38897609144908
74,74,dgyrus_morph.dend[24],rd7,121.38897609144908
75,75,dgyrus_morph.dend[24],rd7,121.38897609144908
